TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,
January-December 2018,,,,,,,,,,,January-December 2018,,,,,,,,,,,January-December 2018,,,,,,,,,
Total,,,,,,,,,,,GROUP TOUR,,,,,,,,,,,Non GROUP TOUR,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unit : Million Baht,,,,,,,,,,,Unit : Million Baht,,,,,,,,,,,Unit : Million Baht
Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-
of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous
East Asia,"1,068,971.87","309,694.54","91,599.81","41,235.20","284,791.58","213,859.45","91,160.37","18,764.16","17,866.76",,East Asia,"278,250.25","97,348.11","23,174.18","20,922.00","56,979.83","50,303.79","21,901.48","1,292.90","6,327.96",,East Asia,"790,721.62","212,346.43","68,425.63","20,313.20","227,811.75","163,555.66","69,258.89","17,471.26","11,538.80"
Asean,"318,816.91","103,718.31","21,700.18","7,423.14","81,343.85","62,513.79","25,288.84","12,434.55","4,394.25",,Asean,"52,632.42","17,695.22","4,887.92","2,626.43","11,946.67","9,761.28","4,370.08",312.58,"1,032.24",,Asean,"266,184.49","86,023.09","16,812.26","4,796.71","69,397.18","52,752.51","20,918.76","12,121.97","3,362.01"
Brunei,845.23,293.96,57.36,20.33,229.67,154.59,65.50,11.15,12.67,,Brunei,101.39,35.75,12.58,5.30,20.34,16.72,9.02,0.00,1.68,,Brunei,743.84,258.21,44.78,15.03,209.33,137.87,56.48,11.15,10.99
Cambodia,"36,712.66","11,829.72","1,298.09",671.31,"7,034.68","6,921.62","2,936.36","5,678.19",342.69,,Cambodia,"1,880.52",618.52,248.65,88.19,348.71,346.94,164.35,33.48,31.68,,Cambodia,"34,832.14","11,211.20","1,049.44",583.12,"6,685.97","6,574.68","2,772.01","5,644.71",311.01
Indonesia,"17,368.72","5,412.31",746.71,590.25,"5,288.59","3,322.27","1,639.42",142.38,226.79,,Indonesia,"4,430.81","1,298.13",233.72,275.33,"1,181.04",876.89,464.36,8.69,92.65,,Indonesia,"12,937.91","4,114.18",512.99,314.92,"4,107.55","2,445.38","1,175.06",133.69,134.14
Laos,"50,339.81","18,159.30","2,791.50",687.67,"11,712.55","9,693.42","3,982.22","2,943.46",369.69,,Laos,"1,549.76",557.00,165.42,73.33,314.45,259.13,150.93,3.79,25.71,,Laos,"48,790.05","17,602.30","2,626.08",614.34,"11,398.10","9,434.29","3,831.29","2,939.67",343.98
Malaysia,"104,525.81","33,232.17","8,850.82","3,000.60","28,666.20","20,088.64","8,042.04",932.44,"1,712.90",,Malaysia,"29,481.05","10,093.93","2,932.00","1,290.69","6,763.92","5,532.77","2,187.50",162.12,518.12,,Malaysia,"75,044.76","23,138.24","5,918.82","1,709.91","21,902.28","14,555.87","5,854.54",770.32,"1,194.78"
Myanmar,"15,234.09","5,626.82",562.51,239.39,"3,099.85","2,327.55","1,099.87","2,111.65",166.45,,Myanmar,"1,471.24",568.76,88.21,74.60,299.38,229.25,123.56,43.71,43.77,,Myanmar,"13,762.85","5,058.06",474.30,164.79,"2,800.47","2,098.30",976.31,"2,067.94",122.68
