TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,
January-December 2018,,,,,,,,,,,January-December 2018,,,,,,,,,,,January-December 2018,,,,,,,,,
Total,,,,,,,,,,,GROUP TOUR,,,,,,,,,,,Non GROUP TOUR,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unit : Million Baht,,,,,,,,,,,Unit : Million Baht,,,,,,,,,,,Unit : Million Baht
Philippines,"16,583.04","4,913.45",983.24,505.00,"5,191.70","3,087.39","1,484.11",145.82,272.33,,Philippines,"2,250.21",745.95,160.87,173.59,486.55,385.66,245.33,3.20,49.06,,Philippines,"14,332.83","4,167.50",822.37,331.41,"4,705.15","2,701.73","1,238.78",142.62,223.27
Singapore,"42,146.13","12,335.28","4,041.16",757.74,"11,815.51","9,305.58","3,038.47",101.07,751.32,,Singapore,"3,707.41","1,189.62",459.01,192.09,777.61,737.00,276.90,0.00,75.18,,Singapore,"38,438.72","11,145.66","3,582.15",565.65,"11,037.90","8,568.58","2,761.57",101.07,676.14
Vietnam,"35,061.42","11,915.30","2,368.79",950.85,"8,305.10","7,612.73","3,000.85",368.39,539.41,,Vietnam,"7,760.03","2,587.56",587.46,453.31,"1,754.67","1,376.92",748.13,57.59,194.39,,Vietnam,"27,301.39","9,327.74","1,781.33",497.54,"6,550.43","6,235.81","2,252.72",310.80,345.02
China,"522,264.78","161,293.16","39,838.37","26,960.51","132,484.97","100,874.46","46,724.28","4,650.20","9,438.83",,China,"180,152.35","67,551.11","11,806.90","15,567.87","34,164.97","31,842.09","14,221.80",846.68,"4,150.93",,China,"342,112.43","93,742.05","28,031.47","11,392.64","98,320.00","69,032.37","32,502.48","3,803.52","5,287.90"
Hong Kong,"40,265.44","10,043.01","4,652.23","1,078.72","11,472.87","8,905.00","2,919.12",423.27,771.22,,Hong Kong,"5,582.36","1,511.92",634.60,331.45,"1,303.90","1,188.62",460.10,16.43,135.34,,Hong Kong,"34,683.08","8,531.09","4,017.63",747.27,"10,168.97","7,716.38","2,459.02",406.84,635.88
Japan,"80,420.36","12,364.36","12,420.96","2,314.89","26,359.12","18,545.72","7,149.94",70.13,"1,195.24",,Japan,"11,049.76","2,364.10","1,689.63",733.07,"3,025.89","2,080.35",872.12,20.27,264.33,,Japan,"69,370.60","10,000.26","10,731.33","1,581.82","23,333.23","16,465.37","6,277.82",49.86,930.91
Korea,"71,158.50","13,658.05","9,296.71","2,300.53","22,135.79","15,308.48","6,132.10",911.32,"1,415.52",,Korea,"23,117.54","6,671.38","3,597.93","1,218.48","5,160.83","4,297.27","1,543.20",40.41,588.04,,Korea,"48,040.96","6,986.67","5,698.78","1,082.05","16,974.96","11,011.21","4,588.90",870.91,827.48
Taiwan,"30,953.75","7,199.66","3,105.53","1,022.23","9,569.94","6,687.29","2,518.16",269.02,581.92,,Taiwan,"5,170.85","1,364.16",490.40,412.54,"1,261.03","1,042.50",396.23,56.53,147.46,,Taiwan,"25,782.90","5,835.50","2,615.13",609.69,"8,308.91","5,644.79","2,121.93",212.49,434.46
Others in East Asia,"5,092.13","1,417.99",585.83,135.18,"1,425.04","1,024.71",427.93,5.67,69.78,,Others in East Asia,544.97,190.22,66.80,32.16,116.54,91.68,37.95,0.00,9.62,,Others in East Asia,"4,547.16","1,227.77",519.03,103.02,"1,308.50",933.03,389.98,5.67,60.16
Europe,"465,086.23","72,774.33","43,416.58","17,469.58","150,587.94","113,071.49","55,279.49","5,602.87","6,883.95",,Europe,"69,441.14","13,318.14","6,395.15","4,126.84","19,636.44","15,797.89","8,015.37",439.17,"1,712.14",,Europe,"395,645.09","59,456.19","37,021.43","13,342.74","130,951.50","97,273.60","47,264.12","5,163.70","5,171.81"
Austria,"8,694.47","1,204.64",721.78,323.82,"2,965.13","2,157.15","1,010.58",202.94,108.43,,Austria,780.22,123.97,69.84,76.76,237.85,173.61,83.10,0.00,15.09,,Austria,"7,914.25","1,080.67",651.94,247.06,"2,727.28","1,983.54",927.48,202.94,93.34
Belgium,"7,715.63","1,142.34",806.91,311.15,"2,316.65","1,957.42","1,031.56",31.06,118.54,,Belgium,869.09,138.08,81.19,69.02,250.50,215.96,89.25,1.81,23.28,,Belgium,"6,846.54","1,004.26",725.72,242.13,"2,066.15","1,741.46",942.31,29.25,95.26
Denmark,"15,221.72","2,626.15","1,614.48",478.32,"5,135.75","3,445.45","1,617.39",191.78,112.40,,Denmark,"1,860.91",432.11,243.61,139.07,449.81,389.96,173.30,0.00,33.05,,Denmark,"13,360.81","2,194.04","1,370.87",339.25,"4,685.94","3,055.49","1,444.09",191.78,79.35
Finland,"10,969.54","1,868.57","1,212.99",325.28,"3,352.41","2,823.12","1,242.38",37.01,107.78,,Finland,"1,729.48",370.52,203.13,86.73,438.68,405.20,186.07,0.00,39.15,,Finland,"9,240.06","1,498.05","1,009.86",238.55,"2,913.73","2,417.92","1,056.31",37.01,68.63
France,"44,595.81","5,777.67","3,665.66","1,830.52","15,082.82","10,483.38","6,292.59",741.70,721.47,,France,"6,290.77","1,037.09",430.82,321.42,"1,999.33","1,519.59",831.00,7.65,143.87,,France,"38,305.04","4,740.58","3,234.84","1,509.10","13,083.49","8,963.79","5,461.59",734.05,577.60
Germany,"54,449.95","6,931.92","4,356.02","1,865.90","19,070.66","13,453.99","7,081.44",844.11,845.91,,Germany,"5,458.59",723.66,440.12,346.34,"1,786.85","1,265.22",677.73,80.37,138.30,,Germany,"48,991.36","6,208.26","3,915.90","1,519.56","17,283.81","12,188.77","6,403.71",763.74,707.61
Italy,"16,487.93","2,191.56","1,350.78",674.94,"5,670.04","3,844.65","2,378.36",168.56,209.04,,Italy,"2,062.61",308.02,181.73,149.05,603.47,472.59,267.46,16.39,63.90,,Italy,"14,425.32","1,883.54","1,169.05",525.89,"5,066.57","3,372.06","2,110.90",152.17,145.14
Netherlands,"16,110.33","2,493.14","1,589.42",734.83,"4,981.30","3,877.11","2,107.94",88.35,238.24,,Netherlands,"1,919.38",282.00,273.73,123.08,542.36,422.92,220.86,15.60,38.83,,Netherlands,"14,190.95","2,211.14","1,315.69",611.75,"4,438.94","3,454.19","1,887.08",72.75,199.41
Norway,"11,641.46","2,189.86","1,371.24",320.44,"3,500.41","2,753.70","1,239.03",108.17,158.61,,Norway,955.46,196.84,136.30,51.89,265.47,184.73,95.40,0.00,24.83,,Norway,"10,686.00","1,993.02","1,234.94",268.55,"3,234.94","2,568.97","1,143.63",108.17,133.78
Russia,"105,028.29","20,635.19","8,496.89","3,831.22","32,764.55","25,979.55","10,553.89","1,193.92","1,573.08",,Russia,"26,803.97","5,607.59","2,369.92","1,535.97","7,055.95","6,177.05","3,105.40",239.48,712.61,,Russia,"78,224.32","15,027.60","6,126.97","2,295.25","25,708.60","19,802.50","7,448.49",954.44,860.47
Spain,"10,999.31","1,532.21","1,002.73",537.23,"3,492.37","2,560.43","1,625.35",81.90,167.09,,Spain,"1,764.14",310.75,142.28,142.20,511.51,386.47,217.33,13.70,39.90,,Spain,"9,235.17","1,221.46",860.45,395.03,"2,980.86","2,173.96","1,408.02",68.20,127.19
Sweden,"27,002.46","4,430.39","2,728.77",539.94,"8,887.96","6,936.16","2,892.03",302.45,284.76,,Sweden,"2,013.62",456.94,237.39,85.17,581.35,455.53,147.05,0.00,50.19,,Sweden,"24,988.84","3,973.45","2,491.38",454.77,"8,306.61","6,480.63","2,744.98",302.45,234.57
Switzerland,"17,198.72","2,656.75","1,676.02",555.90,"5,475.30","4,398.30","2,064.04",137.81,234.60,,Switzerland,"1,276.64",236.50,138.20,57.52,387.72,300.48,124.78,0.00,31.44,,Switzerland,"15,922.08","2,420.25","1,537.82",498.38,"5,087.58","4,097.82","1,939.26",137.81,203.16
United Kingdom,"72,458.57","8,553.99","7,986.30","3,124.92","24,029.98","17,819.91","8,507.16","1,163.76","1,272.55",,United Kingdom,"5,830.72",854.06,492.41,363.89,"1,876.21","1,317.59",756.45,37.88,132.23,,United Kingdom,"66,627.85","7,699.93","7,493.89","2,761.03","22,153.77","16,502.32","7,750.71","1,125.88","1,140.32"
East Europe,"30,935.49","6,052.36","3,006.42","1,282.06","9,267.27","7,002.80","3,709.26",146.04,469.28,,East Europe,"7,498.83","1,747.80",679.12,434.41,"2,036.41","1,618.06",792.54,19.13,171.36,,East Europe,"23,436.66","4,304.56","2,327.30",847.65,"7,230.86","5,384.74","2,916.72",126.91,297.92
Others in Europe,"15,576.55","2,487.59","1,830.17",733.11,"4,595.34","3,578.37","1,926.49",163.31,262.17,,Others in Europe,"2,326.71",492.21,275.36,144.32,612.97,492.93,247.65,7.16,54.11,,Others in Europe,"13,249.84","1,995.38","1,554.81",588.79,"3,982.37","3,085.44","1,678.84",156.15,208.06
The Americas,"111,246.21","16,954.31","11,589.95","5,676.79","34,327.23","24,178.61","14,902.20","1,566.62","2,050.50",,The Americas,"9,019.92","1,837.83",853.44,617.54,"2,563.84","1,832.89","1,010.84",83.44,220.10,,The Americas,"102,226.29","15,116.48","10,736.51","5,059.25","31,763.39","22,345.72","13,891.36","1,483.18","1,830.40"
Argentina,"2,910.84",552.28,289.21,147.29,795.13,655.47,425.43,11.75,34.28,,Argentina,453.96,84.22,49.23,28.05,123.98,103.21,55.15,0.00,10.12,,Argentina,"2,456.88",468.06,239.98,119.24,671.15,552.26,370.28,11.75,24.16
Brazil,"4,104.53",735.47,384.27,179.74,"1,292.69",844.22,588.28,36.83,43.03,,Brazil,595.32,139.37,71.97,33.34,158.15,121.83,57.60,2.06,11.00,,Brazil,"3,509.21",596.10,312.30,146.40,"1,134.54",722.39,530.68,34.77,32.03
Canada,"19,291.67","3,427.89","1,948.78",921.44,"5,549.00","4,251.15","2,583.25",336.07,274.09,,Canada,"1,825.32",335.34,178.33,134.33,504.58,371.28,230.49,29.67,41.30,,Canada,"17,466.35","3,092.55","1,770.45",787.11,"5,044.42","3,879.87","2,352.76",306.40,232.79
USA,"79,070.59","11,141.76","8,328.01","4,112.59","25,009.62","17,113.75","10,580.70","1,154.37","1,629.79",,USA,"5,366.48","1,083.17",458.68,366.48,"1,588.17","1,078.79",594.73,51.71,144.75,,USA,"73,704.11","10,058.59","7,869.33","3,746.11","23,421.45","16,034.96","9,985.97","1,102.66","1,485.04"
Others  in America,"5,868.58","1,096.91",639.68,315.73,"1,680.79","1,314.02",724.54,27.60,69.31,,Others  in America,778.84,195.73,95.23,55.34,188.96,157.78,72.87,0.00,12.93,,Others  in America,"5,089.74",901.18,544.45,260.39,"1,491.83","1,156.24",651.67,27.60,56.38
South Asia,"87,058.06","24,051.17","9,349.90","3,193.74","22,920.99","16,564.41","8,321.30","1,107.86","1,548.69",,South Asia,"18,319.58","5,482.85","1,846.17",875.97,"4,406.12","3,374.90","1,746.17",152.87,434.53,,South Asia,"68,738.48","18,568.32","7,503.73","2,317.77","18,514.87","13,189.51","6,575.13",954.99,"1,114.16"
Bangladesh,"6,486.27","2,333.10",326.45,124.31,"1,463.00","1,057.44",571.26,540.41,70.30,,Bangladesh,881.18,301.47,57.39,45.53,199.43,153.56,90.66,14.93,18.21,,Bangladesh,"5,605.09","2,031.63",269.06,78.78,"1,263.57",903.88,480.60,525.48,52.09
India,"66,723.28","16,946.93","7,812.47","2,755.06","18,056.37","12,847.69","6,511.81",497.65,"1,295.30",,India,"14,907.01","4,266.32","1,569.64",719.97,"3,669.11","2,746.19","1,440.40",131.30,364.08,,India,"51,816.27","12,680.61","6,242.83","2,035.09","14,387.26","10,101.50","5,071.41",366.35,931.22
Nepal,"3,065.27","1,115.91",261.34,86.99,666.30,586.76,273.41,25.44,49.12,,Nepal,726.17,277.89,58.09,33.97,142.32,131.07,60.76,3.27,18.80,,Nepal,"2,339.10",838.02,203.25,53.02,523.98,455.69,212.65,22.17,30.32
Pakistan,"4,798.79","1,506.40",397.71,108.77,"1,291.81",932.24,476.70,19.26,65.90,,Pakistan,637.51,205.72,60.47,30.27,150.00,119.96,57.33,0.00,13.76,,Pakistan,"4,161.28","1,300.68",337.24,78.50,"1,141.81",812.28,419.37,19.26,52.14
Sri Lanka,"2,779.91","1,076.14",207.29,56.17,642.88,512.67,223.28,20.79,40.69,,Sri Lanka,611.99,246.04,38.60,20.94,129.56,107.26,54.37,3.37,11.85,,Sri Lanka,"2,167.92",830.10,168.69,35.23,513.32,405.41,168.91,17.42,28.84
Others in South Asia,"3,204.54","1,072.69",344.64,62.44,800.63,627.61,264.84,4.31,27.38,,Others in South Asia,555.72,185.41,61.98,25.29,115.70,116.86,42.65,0.00,7.83,,Others in South Asia,"2,648.82",887.28,282.66,37.15,684.93,510.75,222.19,4.31,19.55
Oceania,"67,512.64","11,347.22","7,193.29","2,753.22","20,913.13","14,885.31","6,632.51","2,547.08","1,240.88",,Oceania,"4,448.69",945.92,481.55,262.17,"1,165.52",961.47,447.81,75.54,108.71,,Oceania,"63,063.95","10,401.30","6,711.74","2,491.05","19,747.61","13,923.84","6,184.70","2,471.54","1,132.17"
Australia,"60,256.29","10,083.96","6,421.40","2,452.27","18,722.79","13,319.88","5,883.01","2,240.78","1,132.20",,Australia,"3,785.33",791.20,397.70,219.93,998.20,825.52,384.72,75.42,92.64,,Australia,"56,470.96","9,292.76","6,023.70","2,232.34","17,724.59","12,494.36","5,498.29","2,165.36","1,039.56"
New Zealand,"6,735.95","1,164.72",718.22,276.94,"2,032.46","1,444.25",695.40,300.39,103.57,,New Zealand,619.24,142.64,79.31,38.93,156.74,126.95,59.36,0.12,15.19,,New Zealand,"6,116.71","1,022.08",638.91,238.01,"1,875.72","1,317.30",636.04,300.27,88.38
Others  in Ociania,520.40,98.54,53.67,24.01,157.88,121.18,54.10,5.91,5.11,,Others  in Ociania,44.12,12.08,4.54,3.31,10.58,9.00,3.73,0.00,0.88,,Others  in Ociania,476.28,86.46,49.13,20.70,147.30,112.18,50.37,5.91,4.23
Middle East,"61,795.44","15,971.33","6,525.88","1,496.24","17,236.05","11,364.38","6,173.39","2,307.41",720.76,,Middle East,"7,763.38","2,217.85",951.81,369.52,"1,922.86","1,430.78",704.44,11.43,154.69,,Middle East,"54,032.06","13,753.48","5,574.07","1,126.72","15,313.19","9,933.60","5,468.95","2,295.98",566.07
Egypt,"1,448.92",402.74,168.15,37.90,431.48,268.60,130.36,1.22,8.47,,Egypt,167.66,56.87,17.81,10.60,38.22,29.79,11.40,0.61,2.36,,Egypt,"1,281.26",345.87,150.34,27.30,393.26,238.81,118.96,0.61,6.11
Israel,"16,781.90","3,753.51","1,603.85",416.44,"5,453.50","3,254.87","2,102.85",22.61,174.27,,Israel,"1,337.20",354.71,178.70,61.96,329.33,263.66,127.25,0.00,21.59,,Israel,"15,444.70","3,398.80","1,425.15",354.48,"5,124.17","2,991.21","1,975.60",22.61,152.68
Kuwait,"7,375.19","1,911.48",891.42,179.37,"2,042.16","1,433.86",683.66,162.38,70.86,,Kuwait,684.56,192.48,90.26,35.31,160.77,136.92,56.94,0.00,11.88,,Kuwait,"6,690.63","1,719.00",801.16,144.06,"1,881.39","1,296.94",626.72,162.38,58.98
Saudi Arabia,"3,261.73",855.75,455.40,64.37,910.65,650.87,282.62,17.22,24.85,,Saudi Arabia,437.53,126.97,66.70,19.18,102.63,78.80,34.84,0.41,8.00,,Saudi Arabia,"2,824.20",728.78,388.70,45.19,808.02,572.07,247.78,16.81,16.85
U.A.E.,"11,400.73","2,982.90","1,182.03",252.39,"3,064.73","2,068.89",977.05,715.20,157.54,,U.A.E.,"1,442.74",328.64,198.47,69.48,385.68,296.50,117.18,8.18,38.61,,U.A.E.,"9,957.99","2,654.26",983.56,182.91,"2,679.05","1,772.39",859.87,707.02,118.93
Others in Middle East,"21,526.97","6,064.95","2,225.03",545.77,"5,333.53","3,687.29","1,996.85","1,388.78",284.77,,Others in Middle East,"3,693.69","1,158.18",399.87,172.99,906.23,625.11,356.83,2.23,72.25,,Others in Middle East,"17,833.28","4,906.77","1,825.16",372.78,"4,427.30","3,062.18","1,640.02","1,386.55",212.52
Africa,"14,466.45","4,804.66","1,052.58",391.01,"3,712.03","2,671.55","1,337.48",326.26,170.88,,Africa,"1,985.25",596.28,165.60,107.42,477.82,386.07,189.26,23.40,39.40,,Africa,"12,481.20","4,208.38",886.98,283.59,"3,234.21","2,285.48","1,148.22",302.86,131.48
South  Africa,"6,512.09","1,601.10",597.19,228.57,"1,891.65","1,331.17",723.42,51.58,87.41,,South  Africa,775.43,194.85,70.85,46.41,208.93,142.99,80.04,10.84,20.52,,South  Africa,"5,736.66","1,406.25",526.34,182.16,"1,682.72","1,188.18",643.38,40.74,66.89
Others in Africa,"7,954.36","3,203.56",455.39,162.44,"1,820.38","1,340.38",614.06,274.68,83.47,,Others in Africa,"1,209.82",401.43,94.75,61.01,268.89,243.08,109.22,12.56,18.88,,Others in Africa,"6,744.54","2,802.13",360.64,101.43,"1,551.49","1,097.30",504.84,262.12,64.59
Grand Total,"1,876,136.90","455,597.56","170,727.99","72,215.78","534,488.95","396,595.20","183,806.74","32,222.26","30,482.42",,Grand Total,"389,228.21","121,746.98","33,867.90","27,281.46","87,152.43","74,087.79","34,015.37","2,078.75","8,997.53",,Grand Total,"1,486,908.69","333,850.58","136,860.09","44,934.32","447,336.52","322,507.41","149,791.37","30,143.51","21,484.89"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
