Country,No. of Arrivals,Length of Stay,Per Capita Spending Baht,Per Capita Spending USD,Tourism Receipts Mil. Baht,Tourism Receipts Mil. USD,Country By GROUP TOUR,No. of Arrivals By GROUP TOUR,Length of Stay By GROUP TOUR,Per Capita Spending Baht By GROUP TOUR,Per Capita Spending USD By GROUP TOUR,Tourism Receipts Mil. Baht By GROUP TOUR,Tourism Receipts Mil. USD By GROUP TOUR,Country By NON GROUP TOUR,No. of Arrivals By NON GROUP TOUR,Length of Stay By NON GROUP TOUR,Per Capita Spending Baht By NON GROUP TOUR,Per Capita Spending USD By NON GROUP TOUR,Tourism Receipts Mil. Baht By NON GROUP TOUR,Tourism Receipts Mil. USD By NON GROUP TOUR,,,
Switzerland,225985,16.86,4513.98,139.71,17198.72,532.30,Switzerland,17979,12.01,5912.35,182.99,1276.64,39.51,Switzerland,208006,17.28,4429.75,137.10,15922.08,492.79,,,
United Kingdom,954404,17.71,4286.86,132.68,72458.57,2242.61,United Kingdom,79646,14.72,4973.37,153.93,5830.72,180.46,United Kingdom,874758,17.98,4236.20,131.11,66627.85,2062.14,,,
East Europe,487669,14.20,4467.29,138.26,30935.49,957.46,East Europe,108645,11.69,5904.31,182.74,7498.83,232.09,East Europe,379024,14.92,4144.37,128.27,23436.66,725.37,,,
Others in Europe,232147,14.82,4527.52,140.13,15576.55,482.10,Others in Europe,39613,10.89,5393.58,166.93,2326.71,72.01,Others in Europe,192534,15.63,4402.96,136.27,13249.84,410.08,,,
The Americas,1534008,14.86,4880.21,151.04,111246.21,3443.09,The Americas,130290,11.97,5783.59,179.00,9019.92,279.17,The Americas,1403718,15.13,4813.30,148.97,102226.29,3163.92,,,
Argentina,43485,15.08,4438.92,137.39,2910.84,90.09,Argentina,5612,14.14,5720.71,177.06,453.96,14.05,Argentina,37873,15.22,4262.24,131.92,2456.88,76.04,,,
Brazil,57105,13.81,5204.69,161.09,4104.53,127.04,Brazil,7422,12.37,6484.25,200.69,595.32,18.43,Brazil,49683,14.02,5037.95,155.93,3509.21,108.61,,,
Canada,252763,17.94,4254.35,131.67,19291.67,597.08,Canada,19857,16.36,5618.77,173.90,1825.32,56.49,Canada,232906,18.07,4150.12,128.45,17466.35,540.59,,,
USA,1096177,14.33,5033.72,155.79,79070.59,2447.25,USA,85854,11.02,5672.15,175.55,5366.48,166.09,USA,1010323,14.62,4989.82,154.44,73704.11,2281.15,,,
Others  in America,84478,13.08,5311.08,164.38,5868.58,181.63,Others  in America,11545,10.13,6659.54,206.11,778.84,24.11,Others  in America,72933,13.55,5150.30,159.40,5089.74,157.53,,,
South Asia,1935883,7.69,5847.95,181.00,87058.06,2694.46,South Asia,547096,6.01,5571.56,172.44,18319.58,566.99,South Asia,1388787,8.34,5934.69,183.68,68738.48,2127.47,,,
Bangladesh,125809,8.20,6287.37,194.60,6486.27,200.75,Bangladesh,24887,6.65,5324.40,164.79,881.18,27.27,Bangladesh,100922,8.58,6473.05,200.34,5605.09,173.48,,,
India,1562878,7.39,5777.08,178.80,66723.28,2065.10,India,458958,5.87,5533.23,171.25,14907.01,461.37,India,1103920,8.02,5852.67,181.14,51816.27,1603.72,,,
Nepal,55482,10.09,5475.51,169.47,3065.27,94.87,Nepal,19716,6.67,5521.97,170.91,726.17,22.48,Nepal,35766,11.97,5463.66,169.10,2339.10,72.40,,,
Pakistan,78256,10.25,5982.60,185.16,4798.79,148.52,Pakistan,14727,7.59,5703.35,176.52,637.51,19.73,Pakistan,63529,10.87,6025.94,186.50,4161.28,128.79,,,
